usd	500	2	13	4
eur	300	1	15	4
gbp	750	3	18	4
uah	200	4	14	4
credit	500	2	2	10
debit	200	1	10	2
usd	100	1	5	1
eur	250	2	20	3
gbp	400	3	9	2
uah	150	4	12	4
credit	350	1	3	3
debit	300	2	7	2
usd	50	3	10	1
eur	120	4	22	4
gbp	200	1	6	3
uah	80	2	11	2
credit	150	3	1	1
debit	80	4	5	4
usd	80	1	16	2
eur	200	2	4	3
gbp	120	3	8	1
uah	60	4	17	4
credit	200	1	21	3
debit	90	2	19	2
usd	1200	3	11	10
usd	2000	3	5	4
usd	355	3	2	2
usd	257	3	1	1
usd	500	1	1	1
debit	1000	4	4	2
usd	30	1	3	3
credit	1555	2	5	12
credit	656	3	3	3
usd	1000	2	16	10
credit	500	1	16	10
uah	500	3	16	4
uah	600	4	15	10
usd	2000	2	3	3
usd	400	3	15	10
